type,method,metric,score
unsupervised,Seurat,isolated_label_F1,0.994781149
unsupervised,Harmony,isolated_label_silhouette,0.712990789
unsupervised,scCRAFT,isolated_label_silhouette,0.682610672
unsupervised,Seurat,isolated_label_silhouette,0.711087414
unsupervised,Harmony,graph_conn,1
unsupervised,scCRAFT,graph_conn,0.931853844
unsupervised,Seurat,graph_conn,0.99987464
unsupervised,scVI,NMI_cluster/label,0.947588463
unsupervised,scVI,ARI_cluster/label,0.973605444
unsupervised,scVI,ASW_label,0.561746427
unsupervised,scVI,ASW_label/batch,0.907120246
unsupervised,scVI,isolated_label_F1,0.987891351
unsupervised,scVI,isolated_label_silhouette,0.560000264
unsupervised,scVI,graph_conn,0.999775835
full_annotated_supervised,scANVI,kBET,0.220818288
full_annotated_supervised,scGEN,kBET,0.187561613
full_annotated_supervised,STACAS,kBET,0.036779145
randomly_missing_30,scANVI,kBET,0.223599117
randomly_missing_30,scGEN,kBET,0.199119918
randomly_missing_30,STACAS,kBET,0.026411758
randomly_missing_50,scANVI,kBET,0.21196649
randomly_missing_50,scGEN,kBET,0.147995295
randomly_missing_50,STACAS,kBET,0.026296665
randomly_missing_70,scANVI,kBET,0.233520835
randomly_missing_70,scGEN,kBET,0.101818962
randomly_missing_70,STACAS,kBET,0.026967963
full_annotated_supervised,scANVI,lisi_c,0.990703241
full_annotated_supervised,scGEN,lisi_c,0.994496037
full_annotated_supervised,STACAS,lisi_c,0.996982332
randomly_missing_30,scANVI,lisi_c,0.990536977
randomly_missing_30,scGEN,lisi_c,0.992281059
randomly_missing_30,STACAS,lisi_c,0.996845966
randomly_missing_50,scANVI,lisi_c,0.988878568
randomly_missing_50,scGEN,lisi_c,0.992814255
randomly_missing_50,STACAS,lisi_c,0.996837812
randomly_missing_70,scANVI,lisi_c,0.987959086
randomly_missing_70,scGEN,lisi_c,0.991420616
randomly_missing_70,STACAS,lisi_c,0.996867306
full_annotated_supervised,scANVI,lisi_b,0.30642337
full_annotated_supervised,scGEN,lisi_b,0.229024627
full_annotated_supervised,STACAS,lisi_b,0.104234621
randomly_missing_30,scANVI,lisi_b,0.31650501
randomly_missing_30,scGEN,lisi_b,0.231816405
randomly_missing_30,STACAS,lisi_b,0.093171224
randomly_missing_50,scANVI,lisi_b,0.306984992
randomly_missing_50,scGEN,lisi_b,0.18350355
randomly_missing_50,STACAS,lisi_b,0.091691379
randomly_missing_70,scANVI,lisi_b,0.312317205
randomly_missing_70,scGEN,lisi_b,0.151502336
randomly_missing_70,STACAS,lisi_b,0.092289268
full_annotated_supervised,scANVI,lisi_f1,0.468072466
full_annotated_supervised,scGEN,lisi_f1,0.372309337
full_annotated_supervised,STACAS,lisi_f1,0.188736789
randomly_missing_30,scANVI,lisi_f1,0.479724322
randomly_missing_30,scGEN,lisi_f1,0.375831231
randomly_missing_30,STACAS,lisi_f1,0.170414484
randomly_missing_50,scANVI,lisi_f1,0.468522904
randomly_missing_50,scGEN,lisi_f1,0.309754625
randomly_missing_50,STACAS,lisi_f1,0.167935659
randomly_missing_70,scANVI,lisi_f1,0.474601626
randomly_missing_70,scGEN,lisi_f1,0.262839308
randomly_missing_70,STACAS,lisi_f1,0.168938345
full_annotated_supervised,scANVI,pos_rate,0.995997912
full_annotated_supervised,scGEN,pos_rate,0.995823908
full_annotated_supervised,STACAS,pos_rate,0.997041935
randomly_missing_30,scANVI,pos_rate,0.995301897
randomly_missing_30,scGEN,pos_rate,0.993735862
randomly_missing_30,STACAS,pos_rate,0.996693927
randomly_missing_50,scANVI,pos_rate,0.994953889
randomly_missing_50,scGEN,pos_rate,0.993561858
randomly_missing_50,STACAS,pos_rate,0.99634592
randomly_missing_70,scANVI,pos_rate,0.994779885
randomly_missing_70,scGEN,pos_rate,0.993561858
randomly_missing_70,STACAS,pos_rate,0.99634592
full_annotated_supervised,scANVI,truepos_rate,0.350965721
full_annotated_supervised,scGEN,truepos_rate,0.285540282
full_annotated_supervised,STACAS,truepos_rate,0.050983122
randomly_missing_30,scANVI,truepos_rate,0.34818166
randomly_missing_30,scGEN,truepos_rate,0.301722638
randomly_missing_30,STACAS,truepos_rate,0.036540804
randomly_missing_50,scANVI,truepos_rate,0.345223595
randomly_missing_50,scGEN,truepos_rate,0.215590743
randomly_missing_50,STACAS,truepos_rate,0.030624674
randomly_missing_70,scANVI,truepos_rate,0.36227597
randomly_missing_70,scGEN,truepos_rate,0.122846703
randomly_missing_70,STACAS,truepos_rate,0.031320689
full_annotated_supervised,scDREAMER,NMI_cluster/label,0.971715354
full_annotated_supervised,scDREAMER,ARI_cluster/label,0.986268555
full_annotated_supervised,scDREAMER,ASW_label,0.753791729
full_annotated_supervised,scDREAMER,ASW_label/batch,0.93705812
full_annotated_supervised,scDREAMER,isolated_label_F1,0.993115474
full_annotated_supervised,scDREAMER,isolated_label_silhouette,0.749404681
full_annotated_supervised,scDREAMER,graph_conn,1
full_annotated_supervised,ItClust,NMI_cluster/label,0.997494729
full_annotated_supervised,ItClust,ARI_cluster/label,0.999187314
full_annotated_supervised,ItClust,ASW_label,0.97869277
full_annotated_supervised,ItClust,ASW_label/batch,0.889558208
full_annotated_supervised,ItClust,isolated_label_F1,0.999783821
full_annotated_supervised,ItClust,isolated_label_silhouette,0.978076687
full_annotated_supervised,ItClust,graph_conn,1
randomly_missing_30,scDREAMER,NMI_cluster/label,0.800400261
randomly_missing_30,scDREAMER,ARI_cluster/label,0.702432588
randomly_missing_30,scDREAMER,ASW_label,0.74340724
randomly_missing_30,scDREAMER,ASW_label/batch,0.941859451
randomly_missing_30,scDREAMER,isolated_label_F1,0.877666846
randomly_missing_30,scDREAMER,isolated_label_silhouette,0.738048681
randomly_missing_30,scDREAMER,graph_conn,0.999775835
randomly_missing_30,ItClust,NMI_cluster/label,0.622578725
randomly_missing_30,ItClust,ARI_cluster/label,0.552824734
randomly_missing_30,ItClust,ASW_label,0.758112516
randomly_missing_30,ItClust,ASW_label/batch,0.963559052
randomly_missing_30,ItClust,isolated_label_F1,0.792102827
randomly_missing_30,ItClust,isolated_label_silhouette,0.755774782
randomly_missing_30,ItClust,graph_conn,0.995511474
