type,method,metric,score
randomly_missing_30,STACAS,ARI_cluster/label,0.555949876
randomly_missing_30,scANVI,ASW_label,0.634756487
randomly_missing_30,scGEN,ASW_label,0.589208793
randomly_missing_30,STACAS,ASW_label,0.617165993
randomly_missing_30,scANVI,ASW_label/batch,0.844911772
randomly_missing_30,scGEN,ASW_label/batch,0.903844521
randomly_missing_30,STACAS,ASW_label/batch,0.785212466
randomly_missing_30,scANVI,isolated_label_F1,0.922338863
randomly_missing_30,scGEN,isolated_label_F1,0.9008928
randomly_missing_30,STACAS,isolated_label_F1,0.831634218
randomly_missing_30,scANVI,isolated_label_silhouette,0.640256199
randomly_missing_30,scGEN,isolated_label_silhouette,0.592279029
randomly_missing_30,STACAS,isolated_label_silhouette,0.623433744
randomly_missing_30,scANVI,graph_conn,0.99178914
randomly_missing_30,scGEN,graph_conn,0.97650291
randomly_missing_30,STACAS,graph_conn,0.984740753
randomly_missing_50,scANVI,NMI_cluster/label,0.8456874
randomly_missing_50,scGEN,NMI_cluster/label,0.780383526
randomly_missing_50,STACAS,NMI_cluster/label,0.788506761
randomly_missing_50,scANVI,ARI_cluster/label,0.731849749
randomly_missing_50,scGEN,ARI_cluster/label,0.588857798
randomly_missing_50,STACAS,ARI_cluster/label,0.569432473
randomly_missing_50,scANVI,ASW_label,0.630660318
randomly_missing_50,scGEN,ASW_label,0.578378226
randomly_missing_50,STACAS,ASW_label,0.617065705
randomly_missing_50,scANVI,ASW_label/batch,0.848661507
randomly_missing_50,scGEN,ASW_label/batch,0.862582464
randomly_missing_50,STACAS,ASW_label/batch,0.769606372
randomly_missing_50,scANVI,isolated_label_F1,0.929923174
randomly_missing_50,scGEN,isolated_label_F1,0.852578085
randomly_missing_50,STACAS,isolated_label_F1,0.821191332
randomly_missing_50,scANVI,isolated_label_silhouette,0.636064104
randomly_missing_50,scGEN,isolated_label_silhouette,0.579545796
randomly_missing_50,STACAS,isolated_label_silhouette,0.621988949
randomly_missing_50,scANVI,graph_conn,0.990171315
randomly_missing_50,scGEN,graph_conn,0.976345734
randomly_missing_50,STACAS,graph_conn,0.98387166
randomly_missing_70,scANVI,NMI_cluster/label,0.840592733
randomly_missing_70,scGEN,NMI_cluster/label,0.770142684
randomly_missing_70,STACAS,NMI_cluster/label,0.790830244
randomly_missing_70,scANVI,ARI_cluster/label,0.725177723
randomly_missing_70,scGEN,ARI_cluster/label,0.555742058
randomly_missing_70,STACAS,ARI_cluster/label,0.591763425
randomly_missing_70,scANVI,ASW_label,0.629744339
randomly_missing_70,scGEN,ASW_label,0.575154652
randomly_missing_70,STACAS,ASW_label,0.61640254
randomly_missing_70,scANVI,ASW_label/batch,0.846466548
randomly_missing_70,scGEN,ASW_label/batch,0.802751912
randomly_missing_70,STACAS,ASW_label/batch,0.785733075
randomly_missing_70,scANVI,isolated_label_F1,0.919981734
randomly_missing_70,scGEN,isolated_label_F1,0.828239604
randomly_missing_70,STACAS,isolated_label_F1,0.832149218
randomly_missing_70,scANVI,isolated_label_silhouette,0.63466931
