type,metric,method,score
mixing_at_edge_70,isolated_label_silhouette,scGEN,0.609641
mixing_at_edge_70,graph_conn,scGEN,0.977025
mixing_at_edge_70,NMI_cluster/label,STACAS,0.825519
mixing_at_edge_70,ARI_cluster/label,STACAS,0.788687
mixing_at_edge_70,ASW_label,STACAS,0.6014
mixing_at_edge_70,ASW_label/batch,STACAS,0.896394
mixing_at_edge_70,isolated_label_F1,STACAS,0.831287
mixing_at_edge_70,isolated_label_silhouette,STACAS,0.649175
mixing_at_edge_70,graph_conn,STACAS,0.968506
mixing_at_edge_50,NMI_cluster/label,scANVI,0.841931
mixing_at_edge_50,ARI_cluster/label,scANVI,0.846477
mixing_at_edge_50,ASW_label,scANVI,0.636436
mixing_at_edge_50,ASW_label/batch,scANVI,0.870925
mixing_at_edge_50,isolated_label_F1,scANVI,0.899767
mixing_at_edge_50,isolated_label_silhouette,scANVI,0.688366
mixing_at_edge_50,graph_conn,scANVI,0.98194
mixing_at_edge_50,NMI_cluster/label,scGEN,0.82858
mixing_at_edge_50,ARI_cluster/label,scGEN,0.817101
mixing_at_edge_50,ASW_label,scGEN,0.567189
mixing_at_edge_50,ASW_label/batch,scGEN,0.926479
mixing_at_edge_50,isolated_label_F1,scGEN,0.822801
mixing_at_edge_50,isolated_label_silhouette,scGEN,0.601504
mixing_at_edge_50,graph_conn,scGEN,0.969123
mixing_at_edge_50,NMI_cluster/label,STACAS,0.814543
mixing_at_edge_50,ARI_cluster/label,STACAS,0.767635
mixing_at_edge_50,ASW_label,STACAS,0.601535
mixing_at_edge_50,ASW_label/batch,STACAS,0.896712
mixing_at_edge_50,isolated_label_F1,STACAS,0.825373
mixing_at_edge_50,isolated_label_silhouette,STACAS,0.649649
mixing_at_edge_50,graph_conn,STACAS,0.969634
mixing_at_edge_30,NMI_cluster/label,scANVI,0.834793
mixing_at_edge_30,ARI_cluster/label,scANVI,0.843538
mixing_at_edge_30,ASW_label,scANVI,0.625893
mixing_at_edge_30,ASW_label/batch,scANVI,0.872925
mixing_at_edge_30,isolated_label_F1,scANVI,0.879034
mixing_at_edge_30,isolated_label_silhouette,scANVI,0.681077
mixing_at_edge_30,graph_conn,scANVI,0.971148
mixing_at_edge_30,NMI_cluster/label,scGEN,0.81259
mixing_at_edge_30,ARI_cluster/label,scGEN,0.799844
mixing_at_edge_30,ASW_label,scGEN,0.569612
mixing_at_edge_30,ASW_label/batch,scGEN,0.91868
mixing_at_edge_30,isolated_label_F1,scGEN,0.74876
mixing_at_edge_30,isolated_label_silhouette,scGEN,0.60152
mixing_at_edge_30,graph_conn,scGEN,0.958489
mixing_at_edge_30,NMI_cluster/label,STACAS,0.839911
mixing_at_edge_30,ARI_cluster/label,STACAS,0.850341
mixing_at_edge_30,ASW_label,STACAS,0.600313
mixing_at_edge_30,ASW_label/batch,STACAS,0.898247
mixing_at_edge_30,isolated_label_F1,STACAS,0.845482
mixing_at_edge_30,isolated_label_silhouette,STACAS,0.649159
mixing_at_edge_30,graph_conn,STACAS,0.972654
partially_annotated_batches_70,NMI_cluster/label,scANVI,0.820534
partially_annotated_batches_70,ARI_cluster/label,scANVI,0.837365
partially_annotated_batches_70,ASW_label,scANVI,0.614774
partially_annotated_batches_70,ASW_label/batch,scANVI,0.862642
partially_annotated_batches_70,isolated_label_F1,scANVI,0.866177
partially_annotated_batches_70,isolated_label_silhouette,scANVI,0.676179
partially_annotated_batches_70,graph_conn,scANVI,0.974634
partially_annotated_batches_70,NMI_cluster/label,scGEN,0.67728
partially_annotated_batches_70,ARI_cluster/label,scGEN,0.330218
partially_annotated_batches_70,ASW_label,scGEN,0.535688
partially_annotated_batches_70,ASW_label/batch,scGEN,0.840131
partially_annotated_batches_70,isolated_label_F1,scGEN,0.705842
partially_annotated_batches_70,isolated_label_silhouette,scGEN,0.586601
partially_annotated_batches_70,graph_conn,scGEN,0.94111
partially_annotated_batches_70,NMI_cluster/label,STACAS,0.827355
partially_annotated_batches_70,ARI_cluster/label,STACAS,0.774723
partially_annotated_batches_70,ASW_label,STACAS,0.595697
partially_annotated_batches_70,ASW_label/batch,STACAS,0.897002
partially_annotated_batches_70,isolated_label_F1,STACAS,0.852003
partially_annotated_batches_70,isolated_label_silhouette,STACAS,0.645882
partially_annotated_batches_70,graph_conn,STACAS,0.974803
partially_annotated_batches_50,NMI_cluster/label,scANVI,0.850438
partially_annotated_batches_50,ARI_cluster/label,scANVI,0.857073
partially_annotated_batches_50,ASW_label,scANVI,0.626372
partially_annotated_batches_50,ASW_label/batch,scANVI,0.865418
partially_annotated_batches_50,isolated_label_F1,scANVI,0.89413
partially_annotated_batches_50,isolated_label_silhouette,scANVI,0.680955
partially_annotated_batches_50,graph_conn,scANVI,0.985515
partially_annotated_batches_50,NMI_cluster/label,scGEN,0.707341
partially_annotated_batches_50,ARI_cluster/label,scGEN,0.459719
partially_annotated_batches_50,ASW_label,scGEN,0.541862
partially_annotated_batches_50,ASW_label/batch,scGEN,0.856031
partially_annotated_batches_50,isolated_label_F1,scGEN,0.621904
partially_annotated_batches_50,isolated_label_silhouette,scGEN,0.586418
partially_annotated_batches_50,graph_conn,scGEN,0.939053
partially_annotated_batches_50,NMI_cluster/label,STACAS,0.814951
partially_annotated_batches_50,ARI_cluster/label,STACAS,0.7657
partially_annotated_batches_50,ASW_label,STACAS,0.594586
partially_annotated_batches_50,ASW_label/batch,STACAS,0.898853
partially_annotated_batches_50,isolated_label_F1,STACAS,0.875406
partially_annotated_batches_50,isolated_label_silhouette,STACAS,0.646636
partially_annotated_batches_50,graph_conn,STACAS,0.971391
partially_annotated_batches_30,NMI_cluster/label,scANVI,0.84837
partially_annotated_batches_30,ARI_cluster/label,scANVI,0.853823
partially_annotated_batches_30,ASW_label,scANVI,0.636475
partially_annotated_batches_30,ASW_label/batch,scANVI,0.861536
partially_annotated_batches_30,isolated_label_F1,scANVI,0.890467
partially_annotated_batches_30,isolated_label_silhouette,scANVI,0.685145
partially_annotated_batches_30,graph_conn,scANVI,0.976293
partially_annotated_batches_30,NMI_cluster/label,scGEN,0.753291
partially_annotated_batches_30,ARI_cluster/label,scGEN,0.556603
partially_annotated_batches_30,ASW_label,scGEN,0.5532
partially_annotated_batches_30,ASW_label/batch,scGEN,0.902182
partially_annotated_batches_30,isolated_label_F1,scGEN,0.824018
partially_annotated_batches_30,isolated_label_silhouette,scGEN,0.591288
partially_annotated_batches_30,graph_conn,scGEN,0.971265
partially_annotated_batches_30,NMI_cluster/label,STACAS,0.809952
partially_annotated_batches_30,ARI_cluster/label,STACAS,0.7749
partially_annotated_batches_30,ASW_label,STACAS,0.594703
partially_annotated_batches_30,ASW_label/batch,STACAS,0.898552
partially_annotated_batches_30,isolated_label_F1,STACAS,0.847435
partially_annotated_batches_30,isolated_label_silhouette,STACAS,0.651064
partially_annotated_batches_30,graph_conn,STACAS,0.972099
randomly_missing_30,NMI_cluster/label,scANVI,0.858884
randomly_missing_30,ARI_cluster/label,scANVI,0.869516
randomly_missing_30,ASW_label,scANVI,0.640061
randomly_missing_30,ASW_label/batch,scANVI,0.878666
randomly_missing_30,isolated_label_F1,scANVI,0.93664
randomly_missing_30,isolated_label_silhouette,scANVI,0.70478
