type,metric,method,score
mixing_at_edge_50,NMI_cluster/label,scGEN,0.926171
mixing_at_edge_50,ARI_cluster/label,scGEN,0.96022
mixing_at_edge_50,ASW_label,scGEN,0.636552
mixing_at_edge_50,ASW_label/batch,scGEN,0.826438
mixing_at_edge_50,isolated_label_F1,scGEN,0.123711
mixing_at_edge_50,isolated_label_silhouette,scGEN,0.690914
mixing_at_edge_50,graph_conn,scGEN,0.958814
mixing_at_edge_50,NMI_cluster/label,STACAS,0.923614
mixing_at_edge_50,ARI_cluster/label,STACAS,0.95536
mixing_at_edge_50,ASW_label,STACAS,0.681685
mixing_at_edge_50,ASW_label/batch,STACAS,0.85546
mixing_at_edge_50,isolated_label_F1,STACAS,0.12766
mixing_at_edge_50,isolated_label_silhouette,STACAS,0.693321
mixing_at_edge_50,graph_conn,STACAS,0.986035
mixing_at_edge_30,NMI_cluster/label,scANVI,0.915235
mixing_at_edge_30,ARI_cluster/label,scANVI,0.948947
mixing_at_edge_30,ASW_label,scANVI,0.622194
mixing_at_edge_30,ASW_label/batch,scANVI,0.867519
mixing_at_edge_30,isolated_label_F1,scANVI,0.091503
mixing_at_edge_30,isolated_label_silhouette,scANVI,0.638311
mixing_at_edge_30,graph_conn,scANVI,0.98859
mixing_at_edge_30,NMI_cluster/label,scGEN,0.922756
mixing_at_edge_30,ARI_cluster/label,scGEN,0.956886
mixing_at_edge_30,ASW_label,scGEN,0.629954
mixing_at_edge_30,ASW_label/batch,scGEN,0.822674
mixing_at_edge_30,isolated_label_F1,scGEN,0.202899
mixing_at_edge_30,isolated_label_silhouette,scGEN,0.653613
mixing_at_edge_30,graph_conn,scGEN,0.949844
mixing_at_edge_30,NMI_cluster/label,STACAS,0.926295
mixing_at_edge_30,ARI_cluster/label,STACAS,0.956962
mixing_at_edge_30,ASW_label,STACAS,0.681645
mixing_at_edge_30,ASW_label/batch,STACAS,0.858004
mixing_at_edge_30,isolated_label_F1,STACAS,0.126316
mixing_at_edge_30,isolated_label_silhouette,STACAS,0.698942
mixing_at_edge_30,graph_conn,STACAS,0.984139
partially_annotated_batches_70,NMI_cluster/label,scANVI,0.92169
partially_annotated_batches_70,ARI_cluster/label,scANVI,0.953146
partially_annotated_batches_70,ASW_label,scANVI,0.609856
partially_annotated_batches_70,ASW_label/batch,scANVI,0.860848
partially_annotated_batches_70,isolated_label_F1,scANVI,0.162791
partially_annotated_batches_70,isolated_label_silhouette,scANVI,0.720035
partially_annotated_batches_70,graph_conn,scANVI,0.988603
partially_annotated_batches_70,NMI_cluster/label,scGEN,0.750921
partially_annotated_batches_70,ARI_cluster/label,scGEN,0.60165
partially_annotated_batches_70,ASW_label,scGEN,0.569046
partially_annotated_batches_70,ASW_label/batch,scGEN,0.875637
partially_annotated_batches_70,isolated_label_F1,scGEN,0.12766
partially_annotated_batches_70,isolated_label_silhouette,scGEN,0.734923
partially_annotated_batches_70,graph_conn,scGEN,0.985262
partially_annotated_batches_70,NMI_cluster/label,STACAS,0.926119
partially_annotated_batches_70,ARI_cluster/label,STACAS,0.956136
partially_annotated_batches_70,ASW_label,STACAS,0.674666
partially_annotated_batches_70,ASW_label/batch,STACAS,0.867798
partially_annotated_batches_70,isolated_label_F1,STACAS,0.147368
