type,metric,method,score
unsupervised,isolated_label_silhouette,Seurat,0.554068
unsupervised,graph_conn,Seurat,0.972124
mixing_at_edge_70,NMI_cluster/label,scANVI,0.795027
mixing_at_edge_70,ARI_cluster/label,scANVI,0.674711
mixing_at_edge_70,ASW_label,scANVI,0.639374
mixing_at_edge_70,ASW_label/batch,scANVI,0.872093
mixing_at_edge_70,isolated_label_F1,scANVI,0.918367
mixing_at_edge_70,isolated_label_silhouette,scANVI,0.761234
mixing_at_edge_70,graph_conn,scANVI,0.978867
mixing_at_edge_70,NMI_cluster/label,scGEN,0.845609
mixing_at_edge_70,ARI_cluster/label,scGEN,0.838151
mixing_at_edge_70,ASW_label,scGEN,0.608014
mixing_at_edge_70,ASW_label/batch,scGEN,0.823442
mixing_at_edge_70,isolated_label_F1,scGEN,0.884404
mixing_at_edge_70,isolated_label_silhouette,scGEN,0.589889
mixing_at_edge_70,graph_conn,scGEN,0.920753
mixing_at_edge_70,NMI_cluster/label,STACAS,0.769181
mixing_at_edge_70,ARI_cluster/label,STACAS,0.685816
mixing_at_edge_70,ASW_label,STACAS,0.596551
mixing_at_edge_70,ASW_label/batch,STACAS,0.837812
mixing_at_edge_70,isolated_label_F1,STACAS,0.834951
mixing_at_edge_70,isolated_label_silhouette,STACAS,0.607338
mixing_at_edge_70,graph_conn,STACAS,0.962158
mixing_at_edge_50,NMI_cluster/label,scANVI,0.79428
mixing_at_edge_50,ARI_cluster/label,scANVI,0.668414
mixing_at_edge_50,ASW_label,scANVI,0.625465
mixing_at_edge_50,ASW_label/batch,scANVI,0.868301
mixing_at_edge_50,isolated_label_F1,scANVI,0.855219
mixing_at_edge_50,isolated_label_silhouette,scANVI,0.730772
mixing_at_edge_50,graph_conn,scANVI,0.970353
mixing_at_edge_50,NMI_cluster/label,scGEN,0.795009
mixing_at_edge_50,ARI_cluster/label,scGEN,0.764234
mixing_at_edge_50,ASW_label,scGEN,0.598644
mixing_at_edge_50,ASW_label/batch,scGEN,0.827529
mixing_at_edge_50,isolated_label_F1,scGEN,0.601002
mixing_at_edge_50,isolated_label_silhouette,scGEN,0.508027
mixing_at_edge_50,graph_conn,scGEN,0.934719
mixing_at_edge_50,NMI_cluster/label,STACAS,0.75548
mixing_at_edge_50,ARI_cluster/label,STACAS,0.659559
mixing_at_edge_50,ASW_label,STACAS,0.594292
mixing_at_edge_50,ASW_label/batch,STACAS,0.841148
mixing_at_edge_50,isolated_label_F1,STACAS,0.689139
mixing_at_edge_50,isolated_label_silhouette,STACAS,0.60914
mixing_at_edge_50,graph_conn,STACAS,0.962109
mixing_at_edge_30,NMI_cluster/label,scANVI,0.871884
mixing_at_edge_30,ARI_cluster/label,scANVI,0.784975
mixing_at_edge_30,ASW_label,scANVI,0.65292
mixing_at_edge_30,ASW_label/batch,scANVI,0.873404
mixing_at_edge_30,isolated_label_F1,scANVI,0.973244
mixing_at_edge_30,isolated_label_silhouette,scANVI,0.784999
mixing_at_edge_30,graph_conn,scANVI,0.997039
mixing_at_edge_30,NMI_cluster/label,scGEN,0.939329
mixing_at_edge_30,ARI_cluster/label,scGEN,0.900051
mixing_at_edge_30,ASW_label,scGEN,0.617306
mixing_at_edge_30,ASW_label/batch,scGEN,0.797663
mixing_at_edge_30,isolated_label_F1,scGEN,0.998314
mixing_at_edge_30,isolated_label_silhouette,scGEN,0.666358
mixing_at_edge_30,graph_conn,scGEN,0.995846
