file_path,embedding_key,metric,score
mixing_at_edge_30,STACAS,isolated_label_F1,0.702702703
mixing_at_edge_30,STACAS,isolated_label_silhouette,0.550718429
mixing_at_edge_30,STACAS,graph_conn,0.991893939
mixing_at_edge_50,scANVI,NMI_cluster/label,0.961849765
mixing_at_edge_50,scANVI,ARI_cluster/label,0.976997876
mixing_at_edge_50,scANVI,ASW_label,0.696299589
mixing_at_edge_50,scANVI,ASW_label/batch,0.858971171
mixing_at_edge_50,scANVI,isolated_label_F1,0.841423948
mixing_at_edge_50,scANVI,isolated_label_silhouette,0.602439513
mixing_at_edge_50,scANVI,graph_conn,0.98990648
mixing_at_edge_50,scGEN,NMI_cluster/label,0.955483282
mixing_at_edge_50,scGEN,ARI_cluster/label,0.971589256
mixing_at_edge_50,scGEN,ASW_label,0.57203764
mixing_at_edge_50,scGEN,ASW_label/batch,0.902658961
mixing_at_edge_50,scGEN,isolated_label_F1,0.511848341
mixing_at_edge_50,scGEN,isolated_label_silhouette,0.505533621
mixing_at_edge_50,scGEN,graph_conn,0.964075772
mixing_at_edge_50,STACAS,NMI_cluster/label,0.963675925
mixing_at_edge_50,STACAS,ARI_cluster/label,0.977774113
mixing_at_edge_50,STACAS,ASW_label,0.672767219
mixing_at_edge_50,STACAS,ASW_label/batch,0.881906926
mixing_at_edge_50,STACAS,isolated_label_F1,0.834951456
mixing_at_edge_50,STACAS,isolated_label_silhouette,0.548108079
mixing_at_edge_50,STACAS,graph_conn,0.991265785
mixing_at_edge_70,scANVI,NMI_cluster/label,0.965660391
mixing_at_edge_70,scANVI,ARI_cluster/label,0.978752865
mixing_at_edge_70,scANVI,ASW_label,0.707630852
mixing_at_edge_70,scANVI,ASW_label/batch,0.861654918
mixing_at_edge_70,scANVI,isolated_label_F1,0.814569536
mixing_at_edge_70,scANVI,isolated_label_silhouette,0.619672443
mixing_at_edge_70,scANVI,graph_conn,0.992102047
mixing_at_edge_70,scGEN,NMI_cluster/label,0.963683879
mixing_at_edge_70,scGEN,ARI_cluster/label,0.976384191
mixing_at_edge_70,scGEN,ASW_label,0.575337707
mixing_at_edge_70,scGEN,ASW_label/batch,0.895112124
mixing_at_edge_70,scGEN,isolated_label_F1,0.637554585
mixing_at_edge_70,scGEN,isolated_label_silhouette,0.531490325
mixing_at_edge_70,scGEN,graph_conn,0.975731201
mixing_at_edge_70,STACAS,NMI_cluster/label,0.965231159
mixing_at_edge_70,STACAS,ARI_cluster/label,0.97859524
mixing_at_edge_70,STACAS,ASW_label,0.673455136
mixing_at_edge_70,STACAS,ASW_label/batch,0.878349068
mixing_at_edge_70,STACAS,isolated_label_F1,0.828478964
mixing_at_edge_70,STACAS,isolated_label_silhouette,0.550314577
mixing_at_edge_70,STACAS,graph_conn,0.992948356
randomly_missing_30,scANVI,NMI_cluster/label,0.977044405
randomly_missing_30,scANVI,ARI_cluster/label,0.985688194
randomly_missing_30,scANVI,ASW_label,0.704575525
randomly_missing_30,scANVI,ASW_label/batch,0.859790547
randomly_missing_30,scANVI,isolated_label_F1,0.932885906
randomly_missing_30,scANVI,isolated_label_silhouette,0.685446606
randomly_missing_30,scANVI,graph_conn,0.997412851
randomly_missing_30,scGEN,NMI_cluster/label,0.928965841
randomly_missing_30,scGEN,ARI_cluster/label,0.912606772
randomly_missing_30,scGEN,ASW_label,0.553644073
randomly_missing_30,scGEN,ASW_label/batch,0.889212739
randomly_missing_30,scGEN,isolated_label_F1,0.442622951
randomly_missing_30,scGEN,isolated_label_silhouette,0.587593571
randomly_missing_30,scGEN,graph_conn,0.995970743
randomly_missing_30,STACAS,NMI_cluster/label,0.965256741
randomly_missing_30,STACAS,ARI_cluster/label,0.979038051
randomly_missing_30,STACAS,ASW_label,0.666999094
randomly_missing_30,STACAS,ASW_label/batch,0.896404119
randomly_missing_30,STACAS,isolated_label_F1,0.785498489
randomly_missing_30,STACAS,isolated_label_silhouette,0.559380826
randomly_missing_30,STACAS,graph_conn,0.993447882
randomly_missing_50,scANVI,NMI_cluster/label,0.972162212
randomly_missing_50,scANVI,ARI_cluster/label,0.982898221
randomly_missing_50,scANVI,ASW_label,0.707627066
randomly_missing_50,scANVI,ASW_label/batch,0.862857666
randomly_missing_50,scANVI,isolated_label_F1,0.876971609
randomly_missing_50,scANVI,isolated_label_silhouette,0.684446902
randomly_missing_50,scANVI,graph_conn,0.995701622
randomly_missing_50,scGEN,NMI_cluster/label,0.903478511
randomly_missing_50,scGEN,ARI_cluster/label,0.873103249
randomly_missing_50,scGEN,ASW_label,0.55669093
randomly_missing_50,scGEN,ASW_label/batch,0.895104529
randomly_missing_50,scGEN,isolated_label_F1,0.345341615
randomly_missing_50,scGEN,isolated_label_silhouette,0.57476666
randomly_missing_50,scGEN,graph_conn,0.995417678
randomly_missing_50,STACAS,NMI_cluster/label,0.965323505
randomly_missing_50,STACAS,ARI_cluster/label,0.978998698
randomly_missing_50,STACAS,ASW_label,0.665457858
randomly_missing_50,STACAS,ASW_label/batch,0.895429909
randomly_missing_50,STACAS,isolated_label_F1,0.813333333
randomly_missing_50,STACAS,isolated_label_silhouette,0.56242404
randomly_missing_50,STACAS,graph_conn,0.991885082
randomly_missing_70,scANVI,NMI_cluster/label,0.971176807
randomly_missing_70,scANVI,ARI_cluster/label,0.982890751
randomly_missing_70,scANVI,ASW_label,0.691755619
randomly_missing_70,scANVI,ASW_label/batch,0.850490833
randomly_missing_70,scANVI,isolated_label_F1,0.8375
randomly_missing_70,scANVI,isolated_label_silhouette,0.650717582
randomly_missing_70,scANVI,graph_conn,0.992849852
randomly_missing_70,scGEN,NMI_cluster/label,0.917883867
randomly_missing_70,scGEN,ARI_cluster/label,0.904028335
randomly_missing_70,scGEN,ASW_label,0.544249515
randomly_missing_70,scGEN,ASW_label/batch,0.912735437
randomly_missing_70,scGEN,isolated_label_F1,0.276276276
randomly_missing_70,scGEN,isolated_label_silhouette,0.586335613
randomly_missing_70,scGEN,graph_conn,0.993786839
randomly_missing_70,STACAS,NMI_cluster/label,0.963746748
randomly_missing_70,STACAS,ARI_cluster/label,0.977807414
randomly_missing_70,STACAS,ASW_label,0.665399755
randomly_missing_70,STACAS,ASW_label/batch,0.89612547
randomly_missing_70,STACAS,isolated_label_F1,0.80495356
randomly_missing_70,STACAS,isolated_label_silhouette,0.558981613
randomly_missing_70,STACAS,graph_conn,0.994478327
full_annotated_supervised,scANVI,pos_rate,0.991386707
